sample,main_global,main_position,agreement
-UacrmKiTn4$_$7,vision,vision,True
-qDkUB0GgYY$_$5,text,vision,False
0utROiKxejc$_$1,vision,vision,True
0utROiKxejc$_$4,text,text,True
0y022OlZ3W0$_$3,text,text,True
0y022OlZ3W0$_$5,text,text,True
0y022OlZ3W0$_$8,vision,vision,True
101787$_$11,text,text,True
101787$_$13,vision,vision,True
101787$_$1,text,text,True
101787$_$5,text,text,True
101787$_$7,text,text,True
101787$_$9,text,text,True
102408$_$2,text,text,True
102408$_$5,text,text,True
102408$_$9,text,text,True
102858$_$20,text,vision,False
102858$_$21,text,text,True
102858$_$1,vision,vision,True
102858$_$0,text,text,True
102858$_$4,text,text,True
102858$_$6,vision,vision,True
102858$_$10,text,text,True
102858$_$17,vision,vision,True
102858$_$19,text,text,True
112433$_$10,text,text,True
112433$_$3,text,text,True
112433$_$7,text,text,True
112433$_$6,text,text,True
117tQqLjza4$_$6,text,text,True
11j7EfglCAs$_$2,vision,vision,True
121128$_$10,text,text,True
121128$_$1,text,text,True
121128$_$0,text,text,True
121128$_$5,text,text,True
125344$_$0,text,text,True
125676$_$0,vision,vision,True
125676$_$4,text,text,True
128059$_$11,text,text,True
128059$_$12,text,text,True
128059$_$2,text,text,True
128059$_$7,text,text,True
128059$_$6,text,text,True
128059$_$9,text,text,True
128763$_$12,vision,vision,True
128763$_$3,text,text,True
128763$_$2,text,text,True
128763$_$5,text,text,True
128763$_$7,text,text,True
128763$_$8,text,text,True
130456$_$11,text,text,True
130456$_$3,vision,vision,True
130456$_$5,text,text,True
130456$_$4,text,text,True
130456$_$7,text,text,True
130456$_$6,text,text,True
188343$_$13,text,text,True
188343$_$12,text,text,True
188343$_$5,text,text,True
188343$_$9,text,text,True
188343$_$8,text,text,True
1HK7Nea0PFo$_$1,text,text,True
216097$_$1,text,text,True
216097$_$2,text,text,True
216097$_$5,text,text,True
216097$_$4,text,text,True
216097$_$7,text,text,True
216097$_$8,text,text,True
223431$_$11,text,text,True
223431$_$10,text,text,True
223431$_$13,text,text,True
223431$_$0,vision,vision,True
223431$_$5,text,vision,False
225770$_$3,text,text,True
225770$_$5,vision,vision,True
225770$_$4,text,text,True
225770$_$6,vision,text,False
236021$_$12,vision,vision,True
236021$_$1,text,text,True
236021$_$3,text,text,True
236021$_$2,text,text,True
236021$_$5,text,text,True
236021$_$4,text,text,True
237009$_$11,text,text,True
237009$_$12,text,text,True
237009$_$4,text,vision,False
237009$_$7,text,text,True
237009$_$9,text,text,True
241629$_$10,text,text,True
241629$_$0,text,text,True
241629$_$3,text,text,True
241629$_$5,text,text,True
241629$_$8,text,text,True
243646$_$11,text,text,True
243646$_$12,text,text,True
243646$_$9,text,text,True
243646$_$8,text,text,True
247318$_$12,text,text,True
247318$_$1,vision,vision,True
247318$_$3,vision,vision,True
247318$_$2,vision,vision,True
247318$_$5,vision,vision,True
247318$_$7,text,text,True
247318$_$6,vision,vision,True
252998$_$1,text,text,True
252998$_$0,text,text,True
252998$_$5,text,text,True
252998$_$4,text,text,True
252998$_$7,text,text,True
252998$_$8,text,text,True
257247$_$10,text,text,True
257247$_$12,text,text,True
257247$_$2,vision,vision,True
258654$_$1,text,text,True
258654$_$3,text,text,True
258654$_$4,text,text,True
266791$_$24,text,text,True
266791$_$20,text,text,True
266791$_$21,text,text,True
266791$_$23,vision,vision,True
266791$_$29,text,text,True
266791$_$3,text,text,True
266791$_$5,text,text,True
266791$_$4,vision,vision,True
266791$_$6,text,text,True
266791$_$8,text,text,True
266791$_$11,text,text,True
266791$_$14,text,text,True
270254$_$23,vision,vision,True
270254$_$0,vision,vision,True
270254$_$6,text,text,True
270254$_$8,text,text,True
270254$_$11,vision,vision,True
270254$_$14,vision,text,False
270254$_$16,text,text,True
272624$_$10,text,text,True
272624$_$13,text,text,True
272624$_$12,text,text,True
272624$_$16,text,text,True
272624$_$18,vision,vision,True
272624$_$2,vision,vision,True
272624$_$6,vision,vision,True
272624$_$9,text,text,True
272624$_$8,text,text,True
273539$_$3,text,text,True
273539$_$2,vision,vision,True
273539$_$9,text,text,True
290546$_$3,text,text,True
290546$_$5,text,text,True
290546$_$7,text,text,True
290546$_$6,text,text,True
2S00zYaVrtc$_$10,text,text,True
2S00zYaVrtc$_$12,text,text,True
2S00zYaVrtc$_$20,text,text,True
2S00zYaVrtc$_$17,text,text,True
2S00zYaVrtc$_$5,text,text,True
2S00zYaVrtc$_$4,text,text,True
2Xt31_d0XEE$_$2,text,text,True
31474$_$11,text,text,True
31474$_$14,text,vision,False
31474$_$0,vision,vision,True
31474$_$3,text,text,True
31474$_$6,text,text,True
31474$_$9,text,text,True
31474$_$8,text,vision,False
32681$_$1,text,text,True
32681$_$3,text,text,True
32681$_$5,text,text,True
32681$_$6,text,text,True
33170$_$1,text,text,True
33170$_$3,text,text,True
33170$_$4,text,text,True
3MFNIag0wNE$_$12,text,text,True
3MFNIag0wNE$_$14,text,text,True
3MFNIag0wNE$_$16,vision,vision,True
3MFNIag0wNE$_$7,text,text,True
3V2qm0rw920$_$11,vision,vision,True
3V2qm0rw920$_$13,text,text,True
3V2qm0rw920$_$3,vision,vision,True
3j94B0pzSVs$_$12,text,text,True
3j94B0pzSVs$_$17,text,text,True
3j94B0pzSVs$_$1,vision,vision,True
3j94B0pzSVs$_$0,vision,vision,True
4cFeG2ydm9A$_$8,text,text,True
4dV3slGSc60$_$10,text,text,True
4dV3slGSc60$_$12,text,vision,False
4dV3slGSc60$_$22,vision,vision,True
4dV3slGSc60$_$9,text,text,True
4dV3slGSc60$_$8,text,text,True
50103$_$3,text,text,True
5B0PQx3Ep3k$_$5,text,text,True
5O1W39o56gg$_$1,vision,vision,True
5O1W39o56gg$_$2,vision,vision,True
5O1W39o56gg$_$9,text,text,True
5i6AgQSjXO4$_$3,vision,vision,True
5i6AgQSjXO4$_$2,text,vision,False
5i6AgQSjXO4$_$6,text,text,True
5kaCGzjYukM$_$0,vision,vision,True
5kaCGzjYukM$_$3,text,text,True
5kaCGzjYukM$_$2,text,text,True
5kaCGzjYukM$_$5,text,text,True
5kaCGzjYukM$_$7,text,text,True
6KvG5VbLalY$_$9,vision,vision,True
6ZA8I83x-oY$_$0,vision,vision,True
6ZA8I83x-oY$_$2,text,text,True
6hFiTU77Sm0$_$1,vision,vision,True
6hFiTU77Sm0$_$2,vision,text,False
6uPGcKTpC4I$_$1,vision,vision,True
6uPGcKTpC4I$_$2,text,text,True
6uPGcKTpC4I$_$6,text,text,True
70280$_$11,text,text,True
70280$_$3,text,text,True
70280$_$4,vision,vision,True
70280$_$6,text,text,True
75RGHaxmUK8$_$3,text,text,True
75RGHaxmUK8$_$5,text,text,True
7_K3F-lAv1k$_$2,vision,vision,True
7r4vRxKLFCA$_$6,text,text,True
80566$_$1,vision,vision,True
80566$_$0,vision,vision,True
80566$_$3,vision,vision,True
80566$_$2,vision,vision,True
80566$_$4,text,text,True
80566$_$6,text,text,True
80855$_$11,vision,vision,True
80855$_$10,text,text,True
80855$_$12,text,text,True
80855$_$15,vision,vision,True
80855$_$17,text,text,True
80855$_$0,text,text,True
80855$_$3,vision,vision,True
80855$_$2,text,text,True
80855$_$7,text,text,True
80855$_$20,vision,vision,True
830KzUc6CbU$_$0,text,text,True
830KzUc6CbU$_$13,text,text,True
84140$_$0,vision,vision,True
84140$_$5,text,text,True
89835$_$1,text,vision,False
89835$_$0,vision,vision,True
89835$_$4,text,text,True
89835$_$7,text,text,True
8eaYvALnJ0o$_$1,text,text,True
8eaYvALnJ0o$_$0,text,text,True
8x_nCOh6Wmc$_$6,text,text,True
96642$_$1,text,text,True
96642$_$3,vision,vision,True
96642$_$2,vision,text,False
96642$_$4,text,text,True
99501$_$10,text,text,True
99501$_$13,text,text,True
99501$_$1,vision,vision,True
99501$_$0,text,text,True
99501$_$5,text,text,True
99501$_$7,text,text,True
9QI-9w_VdB4$_$0,vision,vision,True
AG5EY8ZaFj4$_$3,vision,vision,True
AG5EY8ZaFj4$_$15,vision,vision,True
Arh2TKRi_mg$_$15,text,text,True
Arh2TKRi_mg$_$14,text,vision,False
Arh2TKRi_mg$_$16,vision,vision,True
Arh2TKRi_mg$_$19,vision,vision,True
Arh2TKRi_mg$_$32,text,text,True
Arh2TKRi_mg$_$28,text,text,True
Arh2TKRi_mg$_$3,vision,vision,True
AxNy9TeTLq8$_$0,text,text,True
BSKAHXFYF_I$_$1,text,text,True
BSKAHXFYF_I$_$3,vision,vision,True
BSKAHXFYF_I$_$7,text,text,True
BSKAHXFYF_I$_$8,vision,vision,True
Baz0VVQ-E9E$_$10,text,text,True
Baz0VVQ-E9E$_$1,vision,vision,True
Baz0VVQ-E9E$_$5,vision,vision,True
Baz0VVQ-E9E$_$7,text,text,True
CJGuudyvA0Y$_$4,vision,vision,True
CPjbogfLHR4$_$2,vision,vision,True
CPjbogfLHR4$_$5,vision,vision,True
DdUJojoFU_c$_$11,text,text,True
DdUJojoFU_c$_$15,text,text,True
DdUJojoFU_c$_$14,text,vision,False
DdUJojoFU_c$_$17,text,text,True
DdUJojoFU_c$_$16,text,text,True
DdUJojoFU_c$_$2,text,vision,False
DdUJojoFU_c$_$6,text,text,True
DdUJojoFU_c$_$8,text,text,True
DlbYiwOnTyk$_$1,vision,vision,True
E8MuzHUhUHk$_$15,text,text,True
E8MuzHUhUHk$_$14,text,text,True
E8MuzHUhUHk$_$16,text,text,True
E8MuzHUhUHk$_$2,text,text,True
E8MuzHUhUHk$_$9,text,text,True
EEjCkc82oyk$_$7,text,text,True
EEjCkc82oyk$_$9,vision,vision,True
EQxkXiWAm08$_$8,text,text,True
ET1cU5_A2YM$_$1,text,text,True
ET1cU5_A2YM$_$3,vision,vision,True
ET1cU5_A2YM$_$6,text,text,True
EmmuWoCUgXs$_$22,vision,vision,True
EmmuWoCUgXs$_$7,text,text,True
Es9MkKsMsjU$_$10,vision,vision,True
Es9MkKsMsjU$_$12,text,text,True
Es9MkKsMsjU$_$2,text,text,True
Es9MkKsMsjU$_$7,text,text,True
Ezn3p5FWF_U$_$4,text,text,True
F1U26PLiXjM$_$1,vision,vision,True
F6JV-K840EY$_$2,text,text,True
FB_b1dm0SRY$_$10,text,text,True
FB_b1dm0SRY$_$0,vision,vision,True
FB_b1dm0SRY$_$6,text,text,True
FB_b1dm0SRY$_$9,text,text,True
FB_b1dm0SRY$_$8,text,text,True
FxxJB8hBpyQ$_$1,text,text,True
Fy0Uid9afM8$_$0,vision,vision,True
Fy0Uid9afM8$_$3,text,text,True
Fy0Uid9afM8$_$5,text,text,True
Fy0Uid9afM8$_$4,text,text,True
H1DpVwktfDQ$_$0,text,text,True
HGicRLwgtkM$_$1,vision,vision,True
HGicRLwgtkM$_$3,text,text,True
HGicRLwgtkM$_$2,vision,text,False
HGicRLwgtkM$_$6,vision,vision,True
HmXXW45eZL4$_$1,text,text,True
HmXXW45eZL4$_$4,text,text,True
IM6HW1HwHhM$_$11,text,text,True
IM6HW1HwHhM$_$15,text,text,True
IM6HW1HwHhM$_$17,text,text,True
IUmxJNs2zaY$_$3,vision,vision,True
IUmxJNs2zaY$_$2,text,text,True
JAnRCQ9A0vI$_$1,vision,vision,True
JAnRCQ9A0vI$_$0,text,text,True
JAnRCQ9A0vI$_$3,text,text,True
JAnRCQ9A0vI$_$2,text,text,True
JAnRCQ9A0vI$_$5,vision,vision,True
JAnRCQ9A0vI$_$4,vision,text,False
JAnRCQ9A0vI$_$8,text,text,True
JOK1SSmPtFw$_$10,vision,vision,True
JOK1SSmPtFw$_$13,text,text,True
JOK1SSmPtFw$_$14,vision,vision,True
JOK1SSmPtFw$_$16,vision,vision,True
JOK1SSmPtFw$_$0,text,text,True
JOK1SSmPtFw$_$5,vision,vision,True
JOK1SSmPtFw$_$4,vision,vision,True
JOK1SSmPtFw$_$8,vision,text,False
JPT38CA3sGI$_$1,text,text,True
JPT38CA3sGI$_$0,vision,vision,True
JPT38CA3sGI$_$5,text,vision,False
JVpF99zuQhA$_$0,vision,vision,True
JVpF99zuQhA$_$2,vision,vision,True
JVpF99zuQhA$_$4,text,text,True
K0m1tO3Ybyc$_$15,text,vision,False
K0m1tO3Ybyc$_$8,text,text,True
K8gp7ncdUl8$_$5,vision,vision,True
KDjl2exStlI$_$10,vision,vision,True
KDjl2exStlI$_$13,text,text,True
KDjl2exStlI$_$5,text,text,True
KDjl2exStlI$_$4,vision,vision,True
KkKWFZZmmCM$_$1,text,text,True
KpMCvUyQCXg$_$1,text,text,True
KpMCvUyQCXg$_$3,text,text,True
KpMCvUyQCXg$_$5,vision,vision,True
L1eFHRQGFeg$_$2,text,text,True
MCsvw5-7lVE$_$1,text,text,True
MCsvw5-7lVE$_$2,text,text,True
MCsvw5-7lVE$_$4,text,text,True
MMpo2bDk-DU$_$10,vision,vision,True
MMpo2bDk-DU$_$17,text,text,True
MMpo2bDk-DU$_$16,text,text,True
MMpo2bDk-DU$_$19,text,text,True
MjaaudUc5-4$_$1,text,text,True
MjaaudUc5-4$_$0,text,text,True
MjaaudUc5-4$_$3,text,text,True
MjaaudUc5-4$_$6,text,text,True
MoQmPA7Q07Q$_$1,text,text,True
MoQmPA7Q07Q$_$2,text,text,True
N1X63d_jgmw$_$5,text,vision,False
N5xfBtD6rLY$_$7,vision,vision,True
NoZsdSGnNpI$_$7,text,text,True
Nrurc5sMUOE$_$5,text,text,True
Nrurc5sMUOE$_$7,vision,vision,True
Nrurc5sMUOE$_$8,text,text,True
NzvNW7vP-Co$_$5,text,text,True
NzvNW7vP-Co$_$4,text,text,True
NzvNW7vP-Co$_$7,text,vision,False
OLP0nCKwU6k$_$6,vision,vision,True
OrYBtyO0aPI$_$1,text,text,True
OrYBtyO0aPI$_$4,text,text,True
PboaYD5hlG8$_$10,vision,vision,True
PboaYD5hlG8$_$3,text,text,True
PboaYD5hlG8$_$2,text,text,True
PboaYD5hlG8$_$7,text,text,True
PboaYD5hlG8$_$9,text,text,True
PboaYD5hlG8$_$8,text,text,True
Pt-D0LUHDSc$_$2,vision,vision,True
PwapK9d8IGk$_$4,vision,vision,True
PyQrAYl1bFs$_$0,text,text,True
PyQrAYl1bFs$_$3,text,text,True
PyQrAYl1bFs$_$4,text,vision,False
Q4WzApjaCNI$_$0,vision,vision,True
Q7S0tX4FUNA$_$4,vision,vision,True
Q7S0tX4FUNA$_$7,text,text,True
Q7S0tX4FUNA$_$8,text,text,True
Qa6Yz62V-Yc$_$0,text,text,True
QjcQx8_PQfw$_$10,text,text,True
QjcQx8_PQfw$_$7,vision,vision,True
QpchvHpGFc8$_$3,text,text,True
RArhIHk4Qs4$_$13,vision,vision,True
RArhIHk4Qs4$_$17,text,text,True
RArhIHk4Qs4$_$16,vision,vision,True
RArhIHk4Qs4$_$19,text,text,True
RArhIHk4Qs4$_$1,vision,vision,True
RArhIHk4Qs4$_$2,text,text,True
RArhIHk4Qs4$_$7,text,text,True
RArhIHk4Qs4$_$6,text,text,True
RArhIHk4Qs4$_$8,text,text,True
RArhIHk4Qs4$_$21,text,text,True
ROcTx5VEn7o$_$11,vision,vision,True
ROcTx5VEn7o$_$1,vision,vision,True
ROcTx5VEn7o$_$5,text,text,True
ROcTx5VEn7o$_$9,text,text,True
RrGpzInAwCg$_$0,vision,text,False
RzOFxDk26p0$_$1,text,text,True
RzOFxDk26p0$_$0,text,text,True
SHa756SwGJQ$_$0,vision,text,False
SHa756SwGJQ$_$2,text,text,True
SHa756SwGJQ$_$4,vision,vision,True
SHa756SwGJQ$_$7,text,text,True
SHa756SwGJQ$_$6,vision,vision,True
TH32jop4FiI$_$15,text,text,True
TH32jop4FiI$_$17,vision,vision,True
TWszOxkOV0w$_$1,text,text,True
TXCXFYIc3Yo$_$16,vision,vision,True
TXCXFYIc3Yo$_$2,text,vision,False
TXCXFYIc3Yo$_$7,text,vision,False
TXCXFYIc3Yo$_$6,text,text,True
TYJzg5IJN8o$_$11,vision,vision,True
