sample_id,video_id,clip_id,source_relpath,raw_text,alignment_text,prepare_status,duration_video_sec,duration_audio_sec,video_start_sec,audio_start_sec,width,height,fps,audio_sample_rate_source,audio_channels_source,n_time_bins,window_sec,text_word_count,aligned_word_count,alignment_word_coverage,alignment_status,audio_valid_bins,vision_frames_sampled,vision_valid_bins,text_dim,audio_dim,vision_dim,removed_bracket_annotations,error
-3g5yACwYnA/13,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,They've been able to find solutions or at least bring some answers to the table.,they've been able to find solutions or at least bring some answers to the table,ok,5.513997,5.399002,0.0,0.0,1280,720,30/1,44100,2,12,0.5,15,15,1.0,complete,11,11,11,128,40,52,,
-3g5yACwYnA/3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",we're a huge user of adhesives for our operation called flocking and we don't have the technical inside compounding or the technical expertise to do these types of things,ok,14.388997,14.328005,0.0,0.0,1280,720,30/1,44100,2,29,0.5,29,29,1.0,complete,29,29,29,128,40,52,,
-3g5yACwYnA/2,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,Key Polymer brings a technical aspect to our operation that we don't have internally.,key polymer brings a technical aspect to our operation that we don't have internally,ok,9.39401,9.230998,0.0,0.0,1280,720,30/1,44100,2,19,0.5,14,14,1.0,complete,19,19,19,128,40,52,,
-3g5yACwYnA/9,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",we have many new opportunities through the way things have changed through the years looking for new niche high end value added products,ok,8.816992,8.696009,0.0,0.0,1280,720,30/1,44100,2,18,0.5,23,23,1.0,complete,18,18,18,128,40,52,,
-3nNcZdcdvU/5,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,Noncompliance can result in legal liability to you and to the school district in which you are employed.,noncompliance can result in legal liability to you and to the school district in which you are employed,ok,7.867969,7.788005,0.0,0.0,320,240,30/1,44100,1,16,0.5,18,18,1.0,complete,16,16,15,128,40,52,,
-HwX2H8Z4hY/2,-HwX2H8Z4hY,2,-HwX2H8Z4hY/2.mp4,"” [President Ronald Reagan:] ""Look at the record",look at the record,ok,3.982031,3.916009,0.0,0.0,1280,720,30/1,44100,2,8,0.5,4,4,1.0,complete,8,8,2,128,40,52,President Ronald Reagan:,
-HwX2H8Z4hY/5,-HwX2H8Z4hY,5,-HwX2H8Z4hY/5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",president ronald reagan blamed the professional bureaucracy of education,ok,5.652995,5.543991,0.0,0.0,1280,720,30/1,44100,2,12,0.5,9,9,1.0,complete,12,11,4,128,40,52,,
-HwX2H8Z4hY/6,-HwX2H8Z4hY,6,-HwX2H8Z4hY/6.mp4,"And in part, Al Shanker did too",and in part al shanker did too,ok,3.358008,3.256009,0.0,0.0,1280,720,30/1,44100,2,7,0.5,7,7,1.0,complete,7,7,5,128,40,52,,
-HwX2H8Z4hY/9,-HwX2H8Z4hY,9,-HwX2H8Z4hY/9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,it is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,ok,7.733984,7.637007,0.0,0.0,1280,720,30/1,44100,2,16,0.5,22,22,1.0,complete,16,15,0,128,40,52,,
-NFrJFQijFE/1,-NFrJFQijFE,1,-NFrJFQijFE/1.mp4,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,structural mounts inside have to be properly stress analyzed so we make sure all that happens,ok,5.746,5.659002,0.0,0.0,1280,720,25/1,44100,2,12,0.5,16,16,1.0,complete,12,11,0,128,40,52,,
-NFrJFQijFE/2,-NFrJFQijFE,2,-NFrJFQijFE/2.mp4,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,so we coordinate with all the proper technical fields to get ready for the instrument to arrive here,ok,6.856,6.698005,0.0,0.0,1280,720,25/1,44100,2,14,0.5,18,18,1.0,complete,14,14,0,128,40,52,,
-THoVjtIkeU/12,-THoVjtIkeU,12,-THoVjtIkeU/12.mp4,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",what ever we turn our attention to is what grows and so if we believe that anything is possible if we believe that social justice can be achieved and if we believe in youth they will believe in themselves,ok,14.896029,14.805011,0.0,0.0,640,360,30/1,44100,2,30,0.5,39,39,1.0,complete,30,30,30,128,40,52,,
-THoVjtIkeU/2,-THoVjtIkeU,2,-THoVjtIkeU/2.mp4,I think social justice is extremely important for young people.,i think social justice is extremely important for young people,ok,4.291992,4.23,0.0,0.0,640,360,30/1,44100,2,9,0.5,10,10,1.0,complete,9,8,8,128,40,52,,
-THoVjtIkeU/6,-THoVjtIkeU,6,-THoVjtIkeU/6.mp4,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",you know that i think listening to young people taking in what they have to say because what we have seen all around the world is the power of youth,ok,8.097005,7.982993,0.0,0.0,640,360,30/1,44100,2,17,0.5,30,30,1.0,complete,16,16,16,128,40,52,,
-UuX1xuaiiE/1,-UuX1xuaiiE,1,-UuX1xuaiiE/1.mp4,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,and all of them are really being able to explore these different areas in depth in a way that really wasn't available before the center was here,ok,10.35,10.267007,0.0,0.0,1280,720,30/1,44100,2,21,0.5,27,27,1.0,complete,21,21,1,128,40,52,,
