problem,experiment_id,experiment_name,status,model,dataset_split,feature_version,config_path,metrics_path,checkpoint_path,prediction_path,purpose,paper_role,notes
Q1,q1_100_samples,Q1 fixed 50-window features,RECORDED,feature extraction and temporal alignment,attachment1_unlabeled,Q1_K50_128_74_52,E题/Q1/feature_config.yaml,E题/Q1/validation_report.json,,,100-sample feature extraction,FINAL,E题/Q1/q1_features.npz
Q2,R0_selected_clean,R0_selected_clean,RECORDED,R0_selected_clean,valid,aligned_50,E题/Q2/configs/best_r0_selected_bert.yaml,E题/Q2/outputs/q2_best_ablation/R0_selected_clean/metrics.json,,E题/Q2/outputs/q2_best_ablation/R0_selected_clean/valid_predictions.csv,clean and synthetic mixed-missing validation,BASELINE,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q2,R1_missing_aug,R1_missing_aug,RECORDED,R1_missing_aug,valid,aligned_50,E题/Q2/configs/best_R1_missing_aug.yaml,E题/Q2/outputs/q2_best_ablation/R1_missing_aug/metrics.json,,E题/Q2/outputs/q2_best_ablation/R1_missing_aug/valid_predictions.csv,clean and synthetic mixed-missing validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q2,R2_span_geometry,R2_span_geometry,RECORDED,R2_span_geometry,valid,aligned_50,E题/Q2/configs/best_R2_span_geometry.yaml,E题/Q2/outputs/q2_best_ablation/R2_span_geometry/metrics.json,,E题/Q2/outputs/q2_best_ablation/R2_span_geometry/valid_predictions.csv,clean and synthetic mixed-missing validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q2,R3_reconstruction,R3_reconstruction,RECORDED,R3_reconstruction,valid,aligned_50,E题/Q2/configs/best_R3_reconstruction.yaml,E题/Q2/outputs/q2_best_ablation/R3_reconstruction/metrics.json,paper_package/Q2/model_parameters/best_robust_delta.pt,E题/Q2/outputs/q2_best_ablation/R3_reconstruction/valid_predictions.csv,clean and synthetic mixed-missing validation,FINAL,Compact R3 delta only; also requires best_bert_last4_compact.pt and public BERT base weights.
Q2,R4_reliability,R4_reliability,RECORDED,R4_reliability,valid,aligned_50,E题/Q2/configs/best_R4_reliability.yaml,E题/Q2/outputs/q2_best_ablation/R4_reliability/metrics.json,,E题/Q2/outputs/q2_best_ablation/R4_reliability/valid_predictions.csv,clean and synthetic mixed-missing validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q2,R5_consistency,R5_consistency,RECORDED,R5_consistency,valid,aligned_50,E题/Q2/configs/best_R5_consistency.yaml,E题/Q2/outputs/q2_best_ablation/R5_consistency/metrics.json,,E题/Q2/outputs/q2_best_ablation/R5_consistency/valid_predictions.csv,clean and synthetic mixed-missing validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q2,partial_last4,partial_last4,RECORDED,partial_last4,valid,aligned_50,E题/Q2/outputs/q2_score_push/deployable_bert/partial_last4/config.yaml,E题/Q2/outputs/q2_score_push/deployable_bert/partial_last4/metrics.json,,E题/Q2/outputs/q2_score_push/deployable_bert/partial_last4/valid_predictions.csv,prior Q2 experiment,HISTORICAL,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,00_base_predictor,00_base_predictor,RECORDED,00_base_predictor,valid,aligned_50,E题/Q3/configs/q3_v2_base.yaml,E题/Q3/outputs/q3_v2/00_base_predictor/valid_metrics.json,,E题/Q3/outputs/q3_v2/00_base_predictor/valid_predictions.csv,v2 validation prediction,BASELINE,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,01_a1_reproduction,01_a1_reproduction,RECORDED,01_a1_reproduction,valid,aligned_50,E题/Q3/configs/q3_v2_base.yaml,E题/Q3/outputs/q3_v2/01_a1_reproduction/valid_metrics.json,E题/Q3/outputs/q3_v2/final_model.pt,E题/Q3/outputs/q3_v2/01_a1_reproduction/valid_predictions.csv,v2 validation prediction,FINAL,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,02_position,02_position,RECORDED,02_position,valid,aligned_50,E题/Q3/configs/q3_v2_position.yaml,E题/Q3/outputs/q3_v2/02_position/valid_metrics.json,,E题/Q3/outputs/q3_v2/02_position/valid_predictions.csv,v2 validation prediction,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,03_gate_pooling,03_gate_pooling,RECORDED,03_gate_pooling,valid,aligned_50,E题/Q3/configs/q3_v2_gate_pooling.yaml,E题/Q3/outputs/q3_v2/03_gate_pooling/valid_metrics.json,,E题/Q3/outputs/q3_v2/03_gate_pooling/valid_predictions.csv,v2 validation prediction,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
