sample_id,word,start_sec_video,end_sec_video,aligned,method
-3g5yACwYnA/13,they've,0.0,0.66,True,MFA forced word alignment
-3g5yACwYnA/13,been,1.13,1.7,True,MFA forced word alignment
-3g5yACwYnA/13,able,1.7,1.91,True,MFA forced word alignment
-3g5yACwYnA/13,to,1.91,2.05,True,MFA forced word alignment
-3g5yACwYnA/13,find,2.05,2.41,True,MFA forced word alignment
-3g5yACwYnA/13,solutions,2.41,2.98,True,MFA forced word alignment
-3g5yACwYnA/13,or,2.98,3.15,True,MFA forced word alignment
-3g5yACwYnA/13,at,3.15,3.26,True,MFA forced word alignment
-3g5yACwYnA/13,least,3.26,3.47,True,MFA forced word alignment
-3g5yACwYnA/13,bring,3.47,3.75,True,MFA forced word alignment
-3g5yACwYnA/13,some,3.75,4.01,True,MFA forced word alignment
-3g5yACwYnA/13,answers,4.01,4.37,True,MFA forced word alignment
-3g5yACwYnA/13,to,4.37,4.44,True,MFA forced word alignment
-3g5yACwYnA/13,the,4.44,4.53,True,MFA forced word alignment
-3g5yACwYnA/13,table,4.53,4.87,True,MFA forced word alignment
