sample_id,prediction_file,explanation_file,main_modality,evidence_modality,evidence_grid,approx_time,figure_path
01,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,vision,text,"[43,49)",7.74–8.82,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/01.png
02,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,vision,vision,"[39,43)",2.6260000000000003–2.8953333333333338,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/02.png
03,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,text,"[40,50)",7.706666666666666–9.633333333333333,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/03.png
04,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[1,6)",0.138–0.8280000000000001,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/04.png
05,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,vision,text,"[37,42)",4.513999999999999–5.124,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/05.png
06,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[37,42)",6.092666666666666–6.9159999999999995,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/06.png
07,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,text,"[19,23)",8.094–9.798,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/07.png
08,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,vision,vision,"[40,43)",3.9733333333333336–4.271333333333334,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/08.png
09,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[3,14)",0.302–1.4093333333333333,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/09.png
10,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[32,37)",6.293333333333334–7.276666666666667,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/10.png
11,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[41,46)",4.755999999999999–5.336,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/11.png
12,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[43,50)",11.122666666666667–12.933333333333332,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/12.png
13,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,vision,vision,"[31,40)",5.373333333333332–6.933333333333333,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/13.png
14,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,audio,"[41,45)",8.418666666666669–9.240000000000002,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/14.png
15,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[22,28)",3.226666666666666–4.1066666666666665,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/15.png
16,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[38,43)",2.356–2.6660000000000004,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/16.png
17,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,text,"[37,47)",7.128666666666667–9.055333333333333,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/17.png
18,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,text,"[39,42)",14.585999999999999–15.708,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/18.png
19,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,vision,"[40,50)",10.906666666666665–13.633333333333333,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/19.png
20,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,E题/Q3/outputs/q3_v2/attachment4/attachment4_explanations_long.csv,text,audio,"[44,50)",9.562666666666667–10.866666666666667,E题/Q3/outputs/q3_v2/attachment4/explanation_cards/20.png
